URL,1st Level,2nd Level,3rd Level,4th Level,Lens
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/welcome.html,Abstract and Introducción ,N/A,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/definitions.html,Definitions,N/A,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/compute-layer.html,Definitions,Compute Layers,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/data-layer.html,Definitions,Data Layer,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/messaging-and-streaming-layer.html,Definitions,Messaging and streaming layer,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/user-management-and-identity-layer.html,Definitions,User management and identity layer,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/edge-layer.html,Definitions,Edge layer,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/systems-monitoring-and-deployment.html,Definitions,Systems monitoring and deployment,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/deployment-approaches.html,Definitions,Deployment approaches,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/lambda-version-control.html,Definitions,Lambda version control,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/general-design-principles.html,Design principles,N/A,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/scenarios.html,Scenarios,N/A,N/A,N/A,Serverless Applications
https://docs.aws.amazon.com/wellarchitected/latest/serverless-applications-lens/restful-microservices.html,Scenarios,RESTful microservices,N/A,N/A,Serverless Applications
